[setup] family=dry_season_gate model=ED-C1-dry_season_gate trials=500 cap=5.0
[setup] land cells=13826
[baseline internal] 0.6103358188328472 {'overall': 0.6295327635038362, 'bias': 0.7070857034108468, 'rmse': 0.37905444206142713, 'seas': 0.8505057485716704, 'spatial': 0.7544105415067992}
/Users/adithyasrinivasan/Projects/creativity-docs/exp-workspaces/exp_04/hermes/base/scripts/research_model_variants.py:168: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  sampler=optuna.samplers.TPESampler(seed=SEED, multivariate=True)
[I 2026-05-22 17:41:26,526] A new study created in memory with name: no-name-331d4af5-cd34-45c7-8336-ee4a9e9df167
[I 2026-05-22 17:41:26,997] Trial 0 finished with value: 0.6103502735484728 and parameters: {'k1': 0.02128012643297453, 'D_low': 33.107928264466416, 'k2': 0.0032479995010666245, 'D_high': 3020.3711370643746, 'fire_exp': 0.5746291131439772, 'P_half': 3.1845074798114754, 'pre_dampen_half': 5.714386941567207, 'gpp_af': 0.4621796973523708, 'gpp_b': 5.190713720036356e-05, 'gpp_d': 128.62113841235993, 'ign_k': 0.8146117322506592, 'ign_c': 20.126441845162326, 'dryanom_half': 7.0710678118654755, 'dry_amp': 0.0}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:36,951] Trial 21 finished with value: 0.48837151739667223 and parameters: {'k1': 0.004493944482724157, 'D_low': 99.41700721821383, 'k2': 0.012191093761799925, 'D_high': 3504.563327353167, 'fire_exp': 0.4642542296878464, 'P_half': 0.49116577426634295, 'pre_dampen_half': 193.459965586058, 'gpp_af': 0.0023713077553318305, 'gpp_b': 4.686107799665544e-06, 'gpp_d': 10.462006719930429, 'ign_k': 0.75409849832841, 'ign_c': 33.594722529687076, 'dryanom_half': 0.25040197305259937, 'dry_amp': 0.13768345319195013}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:37,428] Trial 22 finished with value: 0.45719420476737543 and parameters: {'k1': 0.04468294329262974, 'D_low': 307.48135263133753, 'k2': 0.07111580895808359, 'D_high': 332.62441742633627, 'fire_exp': 2.972081113072992, 'P_half': 0.5371293520792825, 'pre_dampen_half': 119.61412558038772, 'gpp_af': 0.44029892036875096, 'gpp_b': 3.141603875676637e-06, 'gpp_d': 131.7704197593929, 'ign_k': 0.2727069956761713, 'ign_c': 1.2238673127545563, 'dryanom_half': 0.46984743544955526, 'dry_amp': 0.2679505156563802}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:37,914] Trial 23 finished with value: 0.3994490055432051 and parameters: {'k1': 0.011815793950377608, 'D_low': 18.29162120846502, 'k2': 0.007840201594579349, 'D_high': 135.84120777794865, 'fire_exp': 0.4831667693488917, 'P_half': 0.13732910546803792, 'pre_dampen_half': 172.5884101257346, 'gpp_af': 3.438481719587697, 'gpp_b': 1.0056929409461578e-06, 'gpp_d': 565.1263120591129, 'ign_k': 2.700690763361875, 'ign_c': 129.37196767330994, 'dryanom_half': 14.832742153262574, 'dry_amp': 0.445647470871917}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:38,388] Trial 24 finished with value: 0.5153002535087526 and parameters: {'k1': 0.0730320120876637, 'D_low': 40.08248396233394, 'k2': 0.00141524817312804, 'D_high': 22.501679685032233, 'fire_exp': 0.9707632632516421, 'P_half': 2.1766366393465337, 'pre_dampen_half': 94.3951849446617, 'gpp_af': 0.5862404246383639, 'gpp_b': 2.701003314141163e-06, 'gpp_d': 2.4087586393384353, 'ign_k': 0.07668167927888304, 'ign_c': 23.625688384090225, 'dryanom_half': 1.2816582620144181, 'dry_amp': 0.007303025588636922}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:38,861] Trial 25 finished with value: 0.41378480616642505 and parameters: {'k1': 0.014131713542555331, 'D_low': 1.8545190014970767, 'k2': 0.03193387150940246, 'D_high': 50.672371315727105, 'fire_exp': 1.3445494018562283, 'P_half': 2.289759586521684, 'pre_dampen_half': 0.8674708038906661, 'gpp_af': 0.006621055047872303, 'gpp_b': 1.5586763287070518e-05, 'gpp_d': 8.408388793050834, 'ign_k': 0.06680364158136444, 'ign_c': 164.22161827025428, 'dryanom_half': 0.2374309004049376, 'dry_amp': 0.012345850544239513}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:39,342] Trial 26 finished with value: 0.3994490055432051 and parameters: {'k1': 0.09234002195069445, 'D_low': 40.21956879449291, 'k2': 0.003990678661538334, 'D_high': 941.2306739707492, 'fire_exp': 1.1571927174298757, 'P_half': 53.38067268186087, 'pre_dampen_half': 81.69971000378976, 'gpp_af': 0.01736932044075787, 'gpp_b': 2.959252837013838e-06, 'gpp_d': 10.24709439884321, 'ign_k': 0.04721915489557868, 'ign_c': 823.0145884804786, 'dryanom_half': 0.34960488576992127, 'dry_amp': 0.3562011134954573}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:39,819] Trial 27 finished with value: 0.5062280084910271 and parameters: {'k1': 0.03647395719649603, 'D_low': 461.2269578437989, 'k2': 0.04289408871653511, 'D_high': 934.4271613761936, 'fire_exp': 0.6748745950443159, 'P_half': 2.0828692065252765, 'pre_dampen_half': 3.3694967240555393, 'gpp_af': 26.440022257000237, 'gpp_b': 4.562894690529567e-06, 'gpp_d': 870.307359349319, 'ign_k': 3.3614455216514196, 'ign_c': 7.2601321763739906, 'dryanom_half': 0.814472084779223, 'dry_amp': 0.17450628822412895}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:40,290] Trial 28 finished with value: 0.3994490055432051 and parameters: {'k1': 0.019038694478171275, 'D_low': 26.90054588828907, 'k2': 0.002004469649350472, 'D_high': 3781.3874486513664, 'fire_exp': 1.4052448253169838, 'P_half': 14.079358224072502, 'pre_dampen_half': 7.5012570112136805, 'gpp_af': 3.3140512604268997, 'gpp_b': 3.608046948951491e-06, 'gpp_d': 167.14794587194888, 'ign_k': 0.45946131720529754, 'ign_c': 74.45071405016982, 'dryanom_half': 5.909325075688818, 'dry_amp': 0.02678232415268252}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:40,760] Trial 29 finished with value: 0.5159712954103375 and parameters: {'k1': 0.08983891691225408, 'D_low': 361.17904978446336, 'k2': 0.0007378833109080053, 'D_high': 4824.841220388476, 'fire_exp': 1.9528283850077466, 'P_half': 0.9197998581048872, 'pre_dampen_half': 11.950840620118807, 'gpp_af': 0.010373331773538448, 'gpp_b': 0.00019178374030494888, 'gpp_d': 459.1504080390902, 'ign_k': 0.45162773914429727, 'ign_c': 2.5461904037823966, 'dryanom_half': 3.87218318747766, 'dry_amp': 0.21345422993171723}. Best is trial 0 with value: 0.6103502735484728.
[I 2026-05-22 17:41:41,232] Trial 30 finished with value: 0.5506822331867838 and parameters: {'k1': 0.0026570974132150258, 'D_low': 6.028722445320212, 'k2': 0.007713233764543802, 'D_high': 1262.9636769890017, 'fire_exp': 0.3997669968822774, 'P_half': 0.4803016163514383, 'pre_dampen_half': 32.68496998310507, 'gpp_af': 1.278901132404263, 'gpp_b': 0.00020541654965136472, 'gpp_d': 711.2565666745388, 'ign_k': 0.10730286242049279, 'ign_c': 49.73575098469433, 'dryanom_half': 16.86093294682072, 'dry_amp': 0.027598258653236757}. Best is trial 0 with value: 0.6103502735484728.
